Run,Step,InCave,InMarket,InTown,Update,CurrentState
25,7,1,0,0,toCave,2
25,8,1,0,0,toCave,2
25,9,1,0,0,toCave,2
25,10,1,0,0,toCave,2
25,11,1,0,0,toCave,2
25,12,1,0,0,toCave,2
25,13,0,0,0,toCave,2
25,14,1,0,0,toCave,2
25,0,0,0,0,toMarket,0
26,1,0,0,0,toMarket,0
26,2,0,0,0,toMarket,1
26,3,1,1,0,toTown,3
26,4,0,0,0,toTown,2
26,5,1,0,0,toTown,2
26,6,0,1,1,toTown,2
26,7,0,1,1,toTown,2
26,8,0,1,1,toTown,2
26,9,0,1,1,toTown,2
26,10,0,1,1,toTown,2
26,11,0,1,0,toTown,2
26,12,0,1,1,toTown,2
26,13,0,1,1,toTown,2
26,14,0,1,1,toTown,2
27,0,0,0,0,toMarket,0
27,1,0,0,0,toMarket,0
27,2,0,1,1,toMarket,1
27,3,0,1,1,toMarket,5
27,4,0,1,1,toCave,6
27,5,1,1,0,toCave,2
27,6,0,1,1,toCave,2
27,7,1,1,1,toCave,2
27,8,1,0,0,toCave,2
27,9,1,0,0,toCave,2
27,10,1,0,0,toCave,2
27,11,1,0,0,toCave,2
27,12,1,0,0,toCave,2
27,13,1,0,0,toCave,2
27,14,0,0,0,toCave,2
28,0,0,0,0,toMarket,0
28,1,0,0,0,toMarket,0
28,2,0,0,1,toMarket,1
28,3,0,0,1,toMarket,8
28,4,0,0,0,toMarket,8
28,5,0,0,0,toMarket,8
28,6,0,0,1,toMarket,8
28,7,0,0,0,toMarket,8
28,8,0,0,1,toMarket,8
28,9,0,1,1,toMarket,8
28,10,0,1,1,toMarket,5
28,11,1,0,0,toCave,6
28,12,1,0,0,toCave,7
28,13,1,0,0,toCave,2
28,14,1,0,0,toCave,2
29,0,0,0,0,toMarket,0
29,1,0,0,0,toMarket,0
29,2,0,1,1,toMarket,1
29,3,0,1,1,toMarket,5
29,4,0,0,1,toCave,6
29,5,0,1,1,toCave,2
29,6,0,0,0,toCave,2
29,7,0,0,0,toCave,2
29,8,0,0,0,toCave,2
29,9,0,0,0,toCave,2
29,10,0,0,0,toCave,2
29,11,0,0,0,toCave,2
29,12,1,0,0,toCave,2
29,13,1,0,0,toCave,2
29,14,1,0,0,toCave,2
30,0,0,0,0,toMarket,0
30,1,0,0,0,toMarket,0
30,2,0,1,0,toMarket,1
30,3,0,1,1,toMarket,4
30,4,0,1,1,toMarket,5
30,5,0,1,1,toCave,6
30,6,0,1,1,toCave,2
30,7,1,1,1,toCave,2
30,8,0,1,1,toCave,2
30,9,1,0,0,toCave,2
30,10,1,0,0,toCave,2
30,11,1,0,0,toCave,2
30,12,1,0,0,toCave,2
30,13,1,0,0,toCave,2
30,14,0,0,0,toCave,2
31,0,0,0,0,toMarket,0
31,1,0,0,0,toMarket,0
31,2,0,1,1,toMarket,1
31,3,0,1,1,toMarket,5
31,4,0,1,1,toCave,6
31,5,0,0,0,toCave,2
31,6,0,1,1,toCave,2
31,7,0,1,1,toCave,2
31,8,0,1,1,toCave,2
31,9,0,1,1,toCave,2
31,10,1,1,1,toCave,2
31,11,1,1,1,toCave,2
31,12,0,1,1,toCave,2
31,13,0,0,0,toCave,2
31,14,0,0,0,toCave,2
32,0,0,0,0,toMarket,0
32,1,0,0,0,toMarket,0
32,2,1,1,0,toMarket,1
32,3,0,1,1,toMarket,2
32,4,0,1,1,toMarket,2
32,5,1,1,1,toMarket,2
32,6,0,1,1,toMarket,2
32,7,0,1,1,toMarket,2
32,8,0,1,1,toMarket,2
32,9,0,1,1,toMarket,2
32,10,0,1,1,toMarket,2
32,11,0,0,1,toMarket,2
32,12,0,1,1,toMarket,2
32,13,0,1,1,toMarket,2
32,14,0,0,1,toMarket,2
32,0,0,0,0,toMarket,0
33,1,0,0,0,toMarket,0
33,2,0,1,1,toMarket,1
33,3,0,1,0,toMarket,5
33,4,0,0,0,toCave,6
33,5,1,0,0,toCave,2
33,6,1,0,0,toCave,2
33,7,0,0,0,toCave,2
33,8,1,0,0,toCave,2
33,9,1,0,0,toCave,2
33,10,1,0,0,toCave,2
33,11,1,0,0,toCave,2
33,12,1,0,0,toCave,2
33,13,1,0,0,toCave,2
33,14,0,0,0,toCave,2
34,0,0,0,0,toMarket,0
34,1,0,0,0,toMarket,0
34,2,0,0,0,toMarket,1
34,3,0,0,1,toTown,3
34,4,0,0,0,toTown,8
34,5,0,0,0,toMarket,8
34,6,0,1,1,toMarket,8
34,7,0,1,1,toMarket,5
34,8,1,0,0,toCave,6
34,9,0,0,1,toCave,7
34,10,0,1,1,toCave,8
34,11,1,1,1,toCave,5
34,12,1,0,0,toCave,5
34,13,1,0,0,toCave,2
34,14,1,0,0,toCave,2
35,0,0,0,0,toMarket,0
35,1,0,0,0,toMarket,0
35,2,0,1,1,toMarket,1
35,3,0,1,1,toMarket,5
35,4,0,1,1,toCave,6
35,5,1,1,1,toCave,2
35,6,1,0,0,toCave,2
35,7,0,0,0,toCave,2
35,8,1,0,0,toCave,2
35,9,0,0,0,toCave,2
35,10,1,0,1,toCave,2
35,11,1,0,0,toCave,2
35,12,1,0,0,toCave,2
35,13,1,0,0,toCave,2
