Run,Step,InCave,InTown,InCave,InForest,Update,CurrentState,SafeChoice,SafeCount
32,12,1,0,1,0,toTown,2,0,0
32,13,1,0,1,0,toTown,2,0,0
32,14,1,0,1,0,toTown,2,0,0
33,0,0,0,0,1,toForest,1,0,0
33,1,0,0,0,1,toTown,3,0,0
33,2,0,1,1,1,toMarket,3,0,0
33,3,0,1,1,1,toTown,5,0,0
33,4,1,1,1,0,toCave,6,0,0
33,5,1,1,1,0,toTown,5,0,0
34,0,0,0,0,1,toForest,1,0,0
34,1,0,0,0,1,toTown,3,0,0
34,2,0,1,1,1,toMarket,3,0,0
34,3,0,1,1,0,toTown,5,0,0
34,4,1,0,0,1,toCave,6,0,0
34,5,1,0,0,0,toTown,7,0,0
34,6,1,0,0,1,toTown,2,0,0
34,7,1,0,1,1,toTown,2,0,0
34,8,1,0,1,0,toTown,2,0,0
34,9,1,0,1,0,toTown,2,0,0
34,10,1,0,1,0,toTown,2,0,0
35,0,0,0,0,1,toForest,1,0,0
35,1,0,0,1,1,toTown,3,0,0
35,2,0,0,1,0,toTown,8,0,0
35,3,0,0,1,0,toMarket,8,0,0
35,4,0,1,1,0,toMarket,8,0,0
35,5,0,1,1,0,toTown,5,0,0
35,6,1,1,1,0,toCave,6,0,0
35,7,1,0,0,0,toTown,5,0,0
35,8,1,0,0,0,toTown,2,0,0
35,9,1,0,0,0,toTown,2,0,0
36,0,0,0,0,1,toForest,1,0,0
36,1,0,0,1,1,toTown,3,0,0
36,2,0,0,1,0,toTown,8,0,0
36,3,0,0,1,0,toMarket,8,0,0
36,4,0,0,1,0,toMarket,8,0,0
36,5,0,1,1,0,toMarket,8,0,0
36,6,0,0,1,0,toTown,5,0,0
36,7,1,0,0,1,toCave,6,0,0
36,8,1,0,0,1,toTown,7,0,0
36,9,1,0,1,0,toTown,2,0,0
36,10,1,0,1,0,toTown,2,0,0
37,0,0,0,0,1,toForest,1,0,0
37,1,0,1,1,0,toTown,3,0,0
37,2,0,0,1,0,toTown,5,0,0
37,3,1,0,1,1,toCave,6,0,0
37,4,1,0,0,0,toTown,8,0,0
37,5,1,0,0,0,toTown,2,0,0
37,6,1,0,0,0,toTown,2,0,0
37,7,1,0,1,0,toTown,2,0,0
37,8,1,1,1,0,toTown,2,0,0
38,0,0,0,0,1,toForest,1,0,0
38,1,0,0,1,1,toTown,3,0,0
38,2,0,0,1,0,toTown,8,0,0
38,3,0,0,1,0,toMarket,8,0,0
38,4,0,0,1,0,toMarket,8,0,0
38,5,0,0,1,0,toMarket,8,0,0
38,6,0,1,0,1,toMarket,8,0,0
38,7,0,0,0,0,toMarket,5,0,0
38,8,1,0,0,0,toCave,6,0,0
38,9,1,0,0,0,toTown,7,0,0
38,10,1,0,1,0,toTown,2,0,0
38,11,1,0,1,0,toTown,2,0,0
38,12,1,0,1,0,toTown,2,0,0
38,13,1,1,1,0,toTown,2,0,0
39,0,0,0,0,1,toForest,1,0,0
39,1,0,0,0,1,toTown,3,0,0
39,2,0,1,1,1,toMarket,3,0,0
39,3,0,1,1,0,toTown,5,0,0
39,4,1,1,0,0,toCave,6,0,0
39,5,1,0,0,0,toTown,7,0,0
39,6,1,0,0,0,toTown,2,0,0
39,7,1,1,1,0,toTown,2,0,0
39,8,1,0,1,0,toTown,2,0,0
